recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
10,4.958920858409577,1,0,Surburban,0,Phone,Buy One Get One,0
6,5.79630088230073,1,1,Rural,1,Web,No Offer,0
7,5.196561457593649,0,1,Surburban,1,Web,Buy One Get One,0
9,6.515941565126805,1,0,Rural,1,Web,Discount,0
2,3.814189645079383,1,0,Urban,0,Web,Buy One Get One,0
6,4.904014725645983,0,1,Surburban,0,Phone,Buy One Get One,1
9,5.635503633902907,1,0,Surburban,1,Phone,Buy One Get One,0
9,3.837730400846291,0,1,Urban,0,Phone,Buy One Get One,0
9,6.5148163891993764,1,1,Rural,1,Phone,Discount,0
10,3.4916472845842277,0,1,Urban,1,Web,Buy One Get One,0
7,6.307934493644584,0,1,Urban,1,Phone,Buy One Get One,1
1,5.353988563918498,0,1,Urban,1,Phone,Buy One Get One,0
5,6.465989191147641,0,1,Surburban,1,Multichannel,Buy One Get One,0
2,4.621437158451963,0,1,Urban,0,Web,Discount,1
4,5.486538155272981,0,1,Rural,1,Multichannel,No Offer,0
3,4.062681881713259,1,0,Urban,1,Web,No Offer,1
5,3.4008639927609177,1,0,Surburban,0,Phone,Discount,0
9,4.721618998631338,1,0,Rural,0,Web,Discount,0
11,5.3892543615401385,1,1,Surburban,0,Phone,Discount,0
5,6.719520272156116,1,0,Surburban,1,Multichannel,Discount,0
9,3.4008639927609177,0,1,Surburban,1,Phone,No Offer,0
11,5.205763384937429,1,0,Surburban,0,Phone,Discount,0
2,4.774068722449905,1,0,Surburban,0,Web,Discount,1
2,3.4008639927609177,0,1,Urban,1,Phone,No Offer,0
4,4.359781025726562,1,0,Surburban,0,Web,No Offer,0
6,4.940713419791213,0,1,Rural,1,Web,Discount,0
12,4.748317695206576,0,1,Surburban,0,Phone,Discount,1
6,5.093627493892074,0,1,Surburban,0,Web,Discount,0
7,6.077022785469567,0,1,Urban,1,Web,No Offer,0
2,5.314928632353234,1,0,Rural,0,Web,No Offer,0
2,5.470293931287002,0,1,Surburban,0,Phone,Buy One Get One,0
9,5.8118592978082555,1,0,Urban,0,Web,Discount,0
6,4.852108385868018,0,1,Urban,0,Web,Discount,0
9,3.4008639927609177,1,0,Surburban,1,Phone,Discount,0
3,3.4008639927609177,1,0,Rural,0,Web,Buy One Get One,0
4,5.38779237297564,0,1,Urban,0,Multichannel,Buy One Get One,0
1,6.243234427210514,0,1,Surburban,1,Web,Discount,0
4,6.641795558602672,1,1,Urban,1,Multichannel,Discount,0
10,4.1555964382538635,1,0,Rural,1,Phone,Buy One Get One,0
7,6.254655392939876,0,1,Surburban,1,Web,Discount,0
11,5.467933550844437,1,1,Urban,1,Phone,Discount,0
3,4.5974403879261505,1,0,Rural,0,Web,Discount,1
9,5.31900195774087,0,1,Surburban,0,Web,Buy One Get One,0
2,6.198519366072607,1,0,Surburban,0,Phone,No Offer,0
1,3.8778455536265595,0,1,Urban,0,Web,No Offer,0
10,3.4008639927609177,1,0,Surburban,0,Phone,No Offer,0
2,5.96955119379609,1,0,Surburban,0,Web,No Offer,0
1,6.592633490771575,1,1,Surburban,1,Web,Discount,0
3,4.902233120245624,1,0,Urban,1,Phone,Buy One Get One,1
